description,label,urgency
"I sold an item on Marketplace, the buyer paid with Zelle, and then they disputed the charge after I shipped the item, reversing the payment.",Financial Fraud,High
"My business partner sent me a wire transfer request, but I called him to confirm and he never sent it. Someone had hacked his email.",Financial Fraud,High
"I invested in a stock recommended by an online 'guru'. The price was pumped up and then crashed, and I lost all my money.",Financial Fraud,Medium
"A company I've never heard of has been taking small amounts, like $5.99, from my bank account every month.",Financial Fraud,Medium
"I got a fraudulent charge notification from my bank for a purchase made in a different country.",Financial Fraud,High
"Someone intercepted a check I mailed, altered the payee name and amount, and cashed it.",Financial Fraud,High
"My social security number was used to file a fraudulent tax return and claim a refund in my name.",Identity Theft,High
"A new credit card from Capital One showed up at my house, but I never applied for it.",Identity Theft,High
"I got a notice from a debt collector about a hospital bill in another state for a hospital I've never been to.",Identity Theft,Medium
"My credit score dropped 100 points because someone took out a car loan in my name.",Identity Theft,High
"The police contacted me because my name and address were used by someone who was arrested.",Identity Theft,High
"I've been getting rejection letters for apartments and found out it's because someone with my name and SSN has an eviction on their record.",Identity Theft,High
"Someone used my identity to open a new cell phone account, and now I have a huge bill from a carrier I don't use.",Identity Theft,Medium
"I received a data breach notification from a service I use, saying my personal information, including my SSN, was exposed.",Identity Theft,Medium
"Someone created a fake GoFundMe page using my sister's photo and tragic story to fraudulently solicit donations.",Identity Theft,Medium
"I keep getting password reset requests for my accounts that I didn't initiate, suggesting someone has my email and is trying to access my life.",Identity Theft,Low
"My laptop has been running really slow and weird pop-ups keep appearing, even when I'm not on the internet.",Malware,Medium
"My antivirus software just alerted me that it quarantined a trojan horse named 'Zeus'. My PC seems okay now but I'm worried.",Malware,Medium
"I downloaded a 'free' video editor and now my browser homepage is changed to a weird search engine and I'm getting a million ads.",Malware,Low
"My phone is acting weird after I installed an app from outside the official app store. The battery is draining fast and it's overheating.",Malware,Medium
"All my files have been replaced by shortcuts, and my antivirus is going crazy. I think I have a serious virus.",Malware,High
"I accidentally clicked on a malicious ad and now my mouse is moving on its own sometimes.",Malware,High
"My computer's webcam light turns on randomly, even when I'm not using it. I'm scared someone is spying on me.",Malware,High
"After visiting a sketchy streaming site, my browser started redirecting to gambling websites.",Malware,Low
"I got a security alert from my PC that 'keylogger' software was detected and removed.",Malware,Medium
"My computer is making a weird buzzing sound and running very hot ever since I downloaded a file from a torrent site.",Malware,Medium
"I tried to buy a PS5 from a website that looked legitimate. I sent the payment, they sent a fake tracking number, and now the site is gone.",Online Shopping Scam,Low
"The item I received from an online ad was a cheap, broken knockoff of the real thing. The seller won't respond to my emails.",Online Shopping Scam,Low
"I paid for concert tickets on Facebook Marketplace, and the seller blocked me right after I sent the money.",Online Shopping Scam,Low
"An Instagram boutique took my order and payment over two months ago and has not shipped the item or replied to my DMs.",Online Shopping Scam,Low
"I pre-ordered a limited edition item from a small online shop. They've delayed shipping three times and are now ignoring refund requests.",Online Shopping Scam,Low
"The product I bought has a 5-star rating with hundreds of reviews, but now I realize they are all fake and generic.",Online Shopping Scam,Low
"I fell for a dropshipping scam. The item took 6 weeks to arrive from overseas and is of terrible quality, not what was advertised.",Online Shopping Scam,Low
"The rental car I booked online from a third-party site didn't exist when I got to the airport counter.",Online Shopping Scam,Medium
"I won an auction on eBay, paid the seller, and they never shipped the item. eBay is now investigating.",Online Shopping Scam,Low
"I ordered a custom-made piece of furniture. The seller sent progress photos, but after the final payment, they disappeared.",Online Shopping Scam,Medium
"I got an email that looked like it was from Netflix, saying my account was suspended. I clicked the link and entered my login and credit card info on a page that looked real.",Phishing,High
"My mom got a text message (smishing) that said there was a problem with her package delivery and to click a link to reschedule. It asked for her address and personal info.",Phishing,Medium
"My work email got a message from 'IT' asking everyone to migrate to a new mail server by clicking a link and entering their credentials. I think it was a scam.",Phishing,Medium
"Received an email from 'Amazon' about a $1000 TV I didn't order, with a number to call to cancel. I knew it was a phish to get me on the phone.",Phishing,Medium
"Got an email from 'Paypal' with a link to resolve an account limitation. I hovered over the link and the URL looked very suspicious so I didn't click.",Phishing,Low
"A site that looks exactly like my bank's login page showed up in a google search result. I almost entered my password.",Phishing,High
"I received a QR code in the mail for a 'special discount'. I scanned it and it took me to a malicious website asking for my info.",Phishing,Medium
"An email claiming I won a lottery is asking me to pay a 'processing fee' to receive my winnings.",Phishing,Medium
"My company's finance department received a fraudulent invoice email with a link to a fake payment portal.",Phishing,High
"I got a message on Discord from a 'friend' asking me to test their new game. The link was a password stealer.",Phishing,High
"My entire server is encrypted and a file on the desktop called README.txt says I need to pay 0.5 BTC to a wallet to get the decryption key. My business is at a standstill.",Ransomware,High
"I can't open any of my photos or documents, they all have a weird .locked extension now. A popup is demanding money.",Ransomware,High
"A message on my screen says all my files have been hit by 'Ryuk' ransomware and I have 72 hours to pay.",Ransomware,High
"My small business's point-of-sale system has been locked by ransomware. We can't process any sales.",Ransomware,High
"I clicked on a malicious email attachment and now a scary screen has taken over my computer demanding payment.",Ransomware,High
"The hospital's network is down. All patient records are inaccessible and a news report says it's a ransomware attack.",Ransomware,High
"My web server was compromised and the hackers are demanding a ransom to not leak my customer data.",Ransomware,High
"My computer is locked and a ransom note is displayed. It says my files will be deleted if I don't pay within 24 hours.",Ransomware,High
"I can't access my Quickbooks files for my business. A text file in the folder contains a ransom demand.",Ransomware,High
"A hacker encrypted my research data for my PhD and is demanding payment for the key.",Ransomware,High
"My Facebook account was hacked. They changed the password and email so I can't get back in, and now it's posting spam links.",Social Media Account Hacked,Medium
"Someone got into my Instagram and is sending DMs to my followers asking for money for a 'family emergency'.",Social Media Account Hacked,Medium
"My gaming account, with hundreds of dollars in purchased items, was stolen. The email and password were changed.",Social Media Account Hacked,Medium
"My Twitter account was compromised and is now promoting a cryptocurrency scam.",Social Media Account Hacked,Medium
"I lost access to my social media account, and now the profile picture and name have been changed to something offensive.",Social Media Account Hacked,Medium
"My computer is fine but I think my email was hacked because my friend told me she received a strange spam message from me.",Social Media Account Hacked,Low
"Someone keeps logging into my TikTok account from another location and liking random videos.",Social Media Account Hacked,Low
"I can't access my LinkedIn account anymore. The associated phone number for recovery has been changed.",Social Media Account Hacked,Medium
"My YouTube channel was hijacked and all my videos were deleted. It's now streaming a crypto scam 24/7.",Social Media Account Hacked,High
"I found my stolen photos being posted from my own hacked Facebook account.",Social Media Account Hacked,Medium
"I was tricked by a person on a dating app over several months into investing all my savings into a fake crypto platform.",Social Engineering,High
"My boss supposedly emailed me asking me to buy $500 in Google Play gift cards for a client and send him the codes. I did it before I realized it was a scam.",Social Engineering,High
"Someone pretended to be my boss on Slack and asked me to share a confidential customer list. I almost did it.",Social Engineering,Medium
"I received a USB drive in the mail with 'Company Bonus Info' written on it. I plugged it in and it installed malware.",Social Engineering,High
"A person on the phone gained my trust by knowing my mother's maiden name and my last four digits of my SSN, then tricked me into giving them a password.",Social Engineering,High
"My company's customer database was breached after an employee clicked on a malicious link in a targeted phishing email.",Social Engineering,High
"I was a victim of a romance scam. I thought I was in a relationship for months but they just kept asking for money.",Social Engineering,Medium
"A 'friend' on Facebook messaged me asking for my phone number to help them get a code to get back into their account. It was a scam to take over my account.",Social Engineering,Medium
"Someone pretended to be a trusted contact to gain access to my building by tailgating behind me.",Social Engineering,Medium
"I got a fraudulent job offer that required me to pay for 'training materials' upfront.",Social Engineering,Low
"A 'support agent' from Microsoft called me to say my computer was sending error signals. I gave him remote access and he asked for $300 to fix 'viruses'.",Vishing,Medium
"Got a robocall claiming to be from the IRS saying there's a warrant for my arrest due to tax evasion.",Vishing,Low
"I got a call from my 'bank's fraud department' saying there was an issue and I needed to transfer my money to a 'safe' account.",Vishing,High
"A person on the phone claimed they were from my utility company and that my power would be shut off in 30 minutes if I didn't pay with a gift card.",Vishing,High
"I received a call from someone claiming to be from Apple Support, saying my iCloud was compromised. They asked for my password.",Vishing,High
"A scammer called me pretending to be tech support and convinced me to install remote access software on my work computer.",Vishing,High
"I got a vishing call where they already knew my name and address, which made them sound more legitimate.",Vishing,Medium
"A voice message said I'd won a cruise and just needed to call back and provide my credit card to cover port fees.",Vishing,Low
"Someone called pretending to be a grandchild in trouble, asking me to wire money for bail.",Vishing,High
"My caller ID showed my own phone number calling me. When I picked up, it was a recording about my car's extended warranty.",Vishing,Low
"I received an email pretending to be from Amazon, saying my account was suspended. It had a link to a fake login page that looked real.",Phishing,Medium
"A popup on a website said my computer was infected and I had to call a Microsoft support number immediately. The person on the phone wanted remote access.",Technical Support Scam,High
"All of my personal photos and documents on my PC now have a .LOCKED file extension and I can't open them. A text file on my desktop is demanding $500 in Bitcoin.",Ransomware,High
"Someone I matched with on a dating app convinced me to invest in a new cryptocurrency. After I sent the money, they deleted their profile and the investment site vanished.",Financial Fraud,High
"A group of people from my school created a group chat where they constantly post embarrassing and edited photos of me.",Cyberbullying,Medium
"I got a text message from a number I don't know with a photo of my house, threatening to release my personal information if I don't pay them.",Blackmailing,High
"My company's server was breached and customer data, including names and addresses, was stolen. We're now getting extortion emails.",Data Breach,High
"Someone is using my photos and name to run a fake Instagram account. They are messaging my followers asking them for money.",Social Media Account Hacked,Medium
"I noticed a charge on my credit card statement for a flight to another country that I never booked.",Identity Theft,Medium
"I bought a new phone from a website I found on Facebook Marketplace, but the seller never shipped it and has stopped responding to my messages.",Online Shopping Scam,Low
"I got an urgent call from someone claiming to be from my bank's fraud department. They said there was a suspicious transaction and needed my OTP to block it.",Vishing,High
"My son keeps getting horrible, threatening messages on his gaming account from another player.",Cyberbullying,Medium
"I was tricked into giving away my password for my email account through a social engineering attack. Now I'm locked out.",Social Engineering,Medium
"My antivirus software keeps flagging a program called 'SearchOptimizer' as a threat, but it won't go away. My browser homepage has been changed.",Malware,Low
"An ex-partner has threatened to send intimate photos of me to my family and my employer if I don't get back together with them.",Blackmailing,High
"I found out someone opened several store credit cards under my name after getting a letter from a collection agency.",Identity Theft,High
"A person on the phone claiming to be from the IRS said I had unpaid taxes and would be arrested if I didn't pay immediately with gift cards.",Vishing,High
"My entire work computer has been frozen by a ransomware attack. A timer on the screen is counting down, saying the price to unlock it will double.",Ransomware,High
"I got an email with a shipping confirmation for an expensive item I never ordered. The tracking link downloaded a weird zip file to my computer.",Phishing,Medium
"Someone hacked my Twitter account and started posting cryptocurrency scams. I managed to get it back and change the password.",Social Media Account Hacked,Medium
"I paid for a custom piece of furniture from an online artisan, but months have passed and they are no longer responding to emails.",Online Shopping Scam,Low
"My computer has become incredibly slow and is showing constant pop-up ads, even when my web browser is closed.",Malware,Low
"A fake antivirus alert froze my browser and instructed me to call a support line to fix it. They wanted to charge me $200 for a 'lifetime license'.",Technical Support Scam,High
"An investment opportunity I found on Telegram promised huge returns, but after I transferred my crypto, the group administrator blocked me.",Financial Fraud,High
"I received an official-looking email from my health insurance provider stating that their database was compromised and my personal health information was exposed.",Data Breach,High
"I got an email that appeared to be from my boss, asking me to urgently buy several gift cards for a client and send him the codes.",Social Engineering,Medium
"Someone created a fake Instagram profile with my photos and is messaging my friends pretending to be me.",Impersonation,Medium
"A person I met online is constantly pressuring me to send inappropriate pictures even though I am under 18.",Child Exploitation,High
"A viral WhatsApp forward is spreading fake news about free COVID vaccines requiring personal details, but it was completely false.",Fake News,Low
"I invested in a new crypto token on Telegram, and the developers disappeared after cashing out.",Cryptocurrency Fraud,High
"I applied for a remote job and was asked to pay ₹5000 upfront for 'training material'.",Job Scam,Medium
"A scammer used AI to clone my boss's voice on a call, asking for an urgent money transfer.",Social Engineering,High
"A fake bank app was circulating on Play Store. I downloaded it and my UPI transactions started disappearing.",Malware,High
"My Gmail account got hacked and the attacker set up filters to forward all emails to their address.",Social Media Account Hacked,High
"Scammer pretended to be from RBI, asking me to update my KYC via a fake link. I entered my Aadhaar and PAN.",Phishing,High
"I was added to a fake Telegram group about investments. They all kept showing fake profits to trick me.",Financial Fraud,Medium
"Got a call from someone using caller ID spoofing showing as 'Mumbai Police', demanding money to clear a case.",Vishing,High
"I was talking to someone on a dating site for weeks, they claimed to be a soldier overseas and scammed me out of money for a 'plane ticket home'.",Online Romance Scam,High
"A person claiming to be from my bank asked for OTP to verify a transaction I never made.",Vishing,High
"I received a fake tech support popup that froze my browser and told me to call a number.",Technical Support Scam,High
"Someone created a fake LinkedIn profile using my photo and job details to scam recruiters.",Identity Theft,Medium
"I got a message on Telegram about a crypto investment with 300% returns, after transferring I was blocked.",Financial Fraud,High
"My cousin was tricked on Instagram into investing in Bitcoin mining. The account vanished.",Cryptocurrency Fraud,High
"A fake government website collected my Aadhaar and PAN details for ‘verification’.",Identity Theft,High
"I bought sneakers online and received a cheap plastic toy instead.",Online Shopping Scam,Low
"A popup warned my PC was infected and installed fake antivirus demanding money.",Technical Support Scam,High
"My business received a ransomware note demanding $10,000 in bitcoin.",Ransomware,High
"A hacker sent me an email with all my old passwords demanding bitcoin.",Blackmailing,High
"Harassers keep making fake WhatsApp groups with my child’s number.",Cyberbullying,Medium
"My mother received a call from fake ‘IRS’ demanding immediate payment with gift cards.",Vishing,High
"Someone keeps changing my Netflix password and watching shows from abroad.",Social Media Account Hacked,Medium
"A girl I met on a dating app scammed me for money promising to visit but vanished.",Social Engineering,High
"A phishing site mimicked my office email login page to steal credentials.",Phishing,High
"I downloaded a cracked game and now my PC is full of popups and spyware.",Malware,Medium
"Received repeated harassing messages on Twitter targeting my religion.",Cyberbullying,Medium
"A fraudster impersonated my CEO and emailed finance to transfer funds.",Social Engineering,High
"I got a fake invoice in my email asking me to pay $3,000 to a new account.",Financial Fraud,High
"Threatening DMs on Instagram saying they’ll leak my photos if I don’t pay.",Blackmailing,High
"A fraudster opened a new SIM card with my Aadhaar and took loans in my name.",Identity Theft,High
"My teen son is being bullied on Discord by classmates.",Cyberbullying,Low
"A scammer posing as ‘Amazon support’ called asking me to install AnyDesk.",Vishing,High
"After installing a free wallpaper app, my phone started sending spam SMS.",Malware,Medium
"A fake crypto exchange stole my Ethereum after I deposited funds.",Cryptocurrency Fraud,High
"I got an SMS claiming I won a car, but needed to pay ‘processing fees’.",Vishing,Medium
"My Facebook was hacked and now spreading fake giveaways.",Social Media Account Hacked,Medium
"A spammer created a fake Tinder profile using my photos.",Identity Theft,Medium
"Scammer posing as a recruiter asked me to pay ₹5000 for a fake job interview.",Financial Fraud,High
"A call center scam tricked my grandmother into giving remote PC access.",Technical Support Scam,High
"I got a fraudulent PayPal email asking me to ‘verify account’.",Phishing,Medium
"An unknown person sent emails claiming to have hacked my webcam.",Blackmailing,High
"My gaming account worth thousands was stolen and resold online.",Social Media Account Hacked,High
"A student portal breach leaked my grades and personal data online.",Data Breach,Medium
"A fake WhatsApp link promised free recharge but stole my data.",Phishing,Low
"My boss’s hacked email asked me to urgently share payroll details.",Social Engineering,High
"Someone impersonated my business on Instagram and is selling fake products.",Identity Theft,Medium
"I fell for a job scam that asked for a security deposit upfront.",Social Engineering,Medium
"My YouTube channel was hacked and used to livestream crypto scams.",Social Media Account Hacked,High
"A ransomware attack encrypted all files on my office server.",Ransomware,High
"I keep receiving offensive memes targeting me in a Telegram group.",Cyberbullying,Medium
"My debit card was skimmed at an ATM and used for purchases abroad.",Financial Fraud,High
"A fraudster posing as a government officer asked me for PAN details.",Identity Theft,High
"A popup said my iPhone was hacked and to call Apple support immediately.",Technical Support Scam,Medium
"Someone on Facebook Marketplace tricked me into paying for furniture never delivered.",Online Shopping Scam,Low
"A Telegram scam group promised insider stock tips for a fee.",Financial Fraud,Medium
"A phishing QR code placed on an ATM machine stole my login credentials.",Phishing,High
"Scammer created fake Instagram giveaways using my photos.",Identity Theft,Low
"My cloud storage was hacked and files deleted permanently.",Data Breach,High
"A Discord scam tricked me into downloading malware disguised as a game mod.",Malware,High
"A fake credit card company called me offering pre-approved loans and stole my info.",Financial Fraud,High
"My child’s photos were stolen from Instagram and used on a fake profile.",Identity Theft,High
"A fake antivirus email claimed I had 1000 viruses and needed to pay to remove them.",Technical Support Scam,Medium
"A ransomware note demanded payment in Monero cryptocurrency.",Ransomware,High
"I got a fake call pretending to be my bank asking for debit card PIN.",Vishing,High
"My photos were edited into inappropriate memes and spread in school groups.",Cyberbullying,High
"A fraudster impersonated a police officer to scare me into paying fines.",Vishing,Medium
"Fake scholarships were offered online in exchange for Aadhaar and bank details.",Financial Fraud,Medium
"My cousin invested in a fake online gold scheme and lost ₹50,000.",Financial Fraud,High
"A phishing SMS asked me to update my KYC immediately or my account would freeze.",Phishing,High
"A fake charity asked for donations after a natural disaster.",Social Engineering,Medium
"My phone camera light keeps turning on by itself after installing a free app.",Malware,High
"A fake WhatsApp group admin is collecting personal data from members.",Identity Theft,Medium
"My Telegram account was hacked and used to scam my contacts.",Social Media Account Hacked,High
"A fake browser extension stole my saved passwords.",Malware,High
"An attacker sent me emails with threats about sharing my private browsing history.",Blackmailing,High
"My Instagram DMs are full of scam links from hacked accounts.",Social Media Account Hacked,Low
"A fraudster used deepfake voice to impersonate my boss during a call.",Social Engineering,High
"A fake matrimonial website scammed my friend by collecting dowry money.",Financial Fraud,High
"My PC files got encrypted with WannaCry ransomware.",Ransomware,High
"I got a fake lottery winning email demanding a processing fee.",Phishing,Medium
"Someone made a fake LinkedIn profile with my resume to scam others.",Identity Theft,Low
"A fraudster tricked my uncle into paying for fake medical bills online.",Financial Fraud,High
"My Gmail was hacked and spam emails were sent to all my contacts.",Social Media Account Hacked,Medium
"A scammer tricked me into giving OTP for UPI payment reversal.",Vishing,High
"A fake free WiFi hotspot stole my login credentials.",Phishing,Medium
"My work server was breached and sensitive employee records leaked.",Data Breach,High
"Classmates are making cruel TikTok videos mocking me.",Cyberbullying,Medium
"I paid for a gaming console online but never received it.",Online Shopping Scam,Low
"A fake recruiter promised me a work-from-home job and took money for training.",Financial Fraud,High
"A ransomware attack locked my medical records at a hospital.",Ransomware,High
"A fake pop-up asked me to download a Flash update that installed spyware.",Malware,Medium
"My identity was used to register fake SIM cards for criminal activity.",Identity Theft,High
"A scammer tricked me with a fake website that cloned Flipkart.",Online Shopping Scam,Low
"I got an SMS saying my electricity would be cut off unless I paid via link.",Phishing,High
"My Telegram was hacked after I clicked a malicious link.",Social Media Account Hacked,Medium
"A fraudster asked for advance rent payment for a house that didn’t exist.",Financial Fraud,High
"Threatening messages saying I will be kidnapped unless I pay online.",Blackmailing,High
"A fake survey link stole my credit card details.",Phishing,Medium
"My Fortnite account was stolen and sold online.",Social Media Account Hacked,Medium
"A caller claimed to be RBI and asked me to confirm my bank account.",Vishing,High
"My computer has random files appearing after installing pirated software.",Malware,Medium
"A scammer convinced me to invest in fake cryptocurrency mining machines.",Financial Fraud,High
"My WhatsApp was hijacked after I shared the verification code mistakenly.",Social Media Account Hacked,High
"A ransomware note said my files would be leaked if I didn’t pay.",Ransomware,High
"My ex is sending threats to post my private chats online.",Blackmailing,High
"A fake Facebook page is selling products in my brand’s name.",Identity Theft,Medium
"Someone tricked my parents with a fake insurance claim.",Financial Fraud,High
"A scammer cloned my SIM card and accessed my bank account.",Identity Theft,High
"A malicious email attachment installed spyware on my laptop.",Malware,High
"My photos are being used in fake online dating profiles.",Identity Theft,High
"A scammer tricked me into paying advance fees for a fake loan.",Financial Fraud,High
"My business server was encrypted by ransomware demanding $10,000.",Ransomware,High
"A fraudster impersonated a delivery service and stole my OTP.",Vishing,High
"Fake online store scammed me by selling counterfeit clothes.",Online Shopping Scam,Low
"My Telegram channel was hacked and used for crypto scams.",Social Media Account Hacked,High
"A scammer pretended to be my boss over email asking for urgent money transfer.",Social Engineering,High
"A fake tech support agent asked me to download AnyDesk for 'repairs'.",Technical Support Scam,High
"My bank account was debited after I clicked a phishing link.",Phishing,High
"A scammer used deepfake video to impersonate a politician for donations.",Social Engineering,High
"My WhatsApp groups were spammed with offensive messages by hacked accounts.",Cyberbullying,Medium
